area_sqft,house_age,bedrooms,avg_rooms,bathrooms,population,avg_occupancy,latitude,longitude,area_name,city,price,price_per_sqft,distance_to_city_center,property_type
5465,5-10,4,6,4,265277,5,13.03868,80.31193,Tambaram,Chennai,12940000,2368,6.63,Villa
1318,0-1,5,7,1,224088,6,13.08909,80.25794,Kolathur,Chennai,5820000,4416,1.55,Builder Floor
2362,1-5,5,8,1,147586,6,13.06262,80.25759,OMR,Chennai,9500000,4022,2.65,Independent House
1350,5-10,4,6,3,111683,2,13.02277,80.20843,Poonamallee,Chennai,7360000,5452,9.48,Independent House
1676,10+,2,4,2,125509,5,13.10854,80.15923,Perambur,Chennai,4070000,2428,12.41,Apartment
889,5-10,3,6,1,211434,6,13.26996,80.35638,Madhavaram,Chennai,4420000,4972,22.8,Builder Floor
876,5-10,5,7,1,120257,2,13.12078,80.37499,T Nagar,Chennai,4260000,4863,12.06,Builder Floor
2228,1-5,5,6,3,178065,6,12.95677,80.32174,T Nagar,Chennai,8120000,3645,15.05,Independent House
1493,1-5,3,5,1,168137,2,13.03351,80.29733,Karapakkam,Chennai,7340000,4916,6.18,Apartment
1770,5-10,4,6,4,229431,3,12.96921,80.28593,Mylapore,Chennai,5320000,3006,12.73,Builder Floor
1152,1-5,0,0,0,158826,0,13.19245,80.28474,Nungambakkam,Chennai,2570000,2231,12.3,Plot
1142,5-10,2,3,1,171290,3,12.97475,80.18917,Avadi,Chennai,5560000,4869,14.9,Apartment
978,10+,3,6,2,176523,2,13.00726,80.38302,Virugambakkam,Chennai,4360000,4458,14.78,Builder Floor
1665,0-1,2,4,2,168426,5,13.12092,80.24998,Mogappair,Chennai,7010000,4210,4.81,Apartment
2074,5-10,3,4,1,222642,5,13.01855,80.38142,Pallavaram,Chennai,6520000,3144,13.95,Independent House
1243,5-10,1,2,1,137704,5,13.08343,80.24146,Velachery,Chennai,6280000,5052,3.17,Apartment
946,1-5,4,6,4,194033,2,13.23249,80.30241,Mogappair,Chennai,6160000,6512,17.01,Apartment
2094,10+,0,0,0,226115,0,13.15988,80.18551,Karapakkam,Chennai,3100000,1480,12.6,Plot
2489,1-5,2,3,2,108176,5,13.10615,80.21355,Chromepet,Chennai,7280000,2925,6.72,Apartment
2012,5-10,2,4,1,172391,6,13.15977,80.30372,Virugambakkam,Chennai,7440000,3698,9.29,Independent House
726,1-5,4,7,3,179374,2,13.30145,80.2782,Poonamallee,Chennai,5340000,7355,24.34,Independent House
2460,10+,2,3,1,168257,4,13.06482,80.32782,Kodambakkam,Chennai,5450000,2215,6.5,Apartment
649,1-5,3,5,3,183143,3,13.0738,80.13077,Mogappair,Chennai,4970000,7658,15.19,Apartment
2111,5-10,2,3,2,207812,3,13.15333,80.23476,Anna Nagar,Chennai,9070000,4297,8.77,Apartment
2652,0-1,0,0,0,282035,0,13.03822,80.26048,Mylapore,Chennai,3650000,1376,5.07,Plot
2136,5-10,1,3,1,131771,3,13.26787,80.12132,Ambattur,Chennai,4170000,1952,26.18,Apartment
1565,5-10,4,6,4,70642,4,13.0394,80.33285,Adyar,Chennai,5610000,3585,8.28,Builder Floor
4784,1-5,3,5,3,115183,5,12.97807,80.11145,Pallavaram,Chennai,9450000,1975,20.81,Villa
1963,1-5,4,6,1,294596,2,12.95879,80.24325,Adyar,Chennai,7030000,3581,14.1,Apartment
533,0-1,2,3,2,203966,4,13.08963,80.22327,Mogappair,Chennai,7860000,14747,5.19,Apartment
731,5-10,2,3,2,257828,5,13.03876,80.35844,Nungambakkam,Chennai,5120000,7004,10.69,Independent House
2269,10+,5,8,4,265644,5,13.23738,80.30381,Adyar,Chennai,4380000,1930,17.57,Independent House
1222,10+,4,5,3,157400,6,13.1212,80.30806,Adyar,Chennai,5980000,4894,5.89,Independent House
1028,10+,1,3,1,199278,4,13.04379,80.28731,Madhavaram,Chennai,5110000,4971,4.69,Apartment
1797,1-5,3,4,3,248993,4,13.11859,80.2644,Mylapore,Chennai,7550000,4201,4.05,Independent House
